id,交易筆棟數,建物現況格局-房,鄉鎮市區,電梯,建物型態,主要用途,總樓層數,主建物面積,有無管理組織
287,0,0,中正區,有,住宅大樓(11層含以上有電梯),商業用,14,346.15,有
288,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.71,有
289,0,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.02,有
290,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.02,有
291,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.02,有
292,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,47.71,有
293,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,47.02,有
294,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.02,有
295,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,78.06,有
296,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,66,有
297,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,47.02,有
298,1,0,中山區,有,住宅大樓(11層含以上有電梯),商業用,14,141.95,有
299,0,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.51,有
300,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,47.02,有
301,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.02,有
302,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66,有
303,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.92,有
304,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66.77,有
305,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.02,有
306,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,77.8,有
307,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,77.8,有
308,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,46.86,有
309,0,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,58.92,有
310,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.71,有
311,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,78.06,有
312,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,78.06,有
313,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66.92,有
314,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,77.79,有
315,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,46.86,有
316,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,45.4,有
317,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,66.9,有
318,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,46.86,有
319,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,77.27,有
320,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,77.79,有
321,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.92,有
322,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.02,有
323,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,58.92,有
324,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.4,有
325,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.4,有
326,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.16,有
327,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.16,有
328,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.02,有
329,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66.77,有
